,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2926,Sorted For E's & Wizz,Pulp,5rhlGI1uMKzJHfIDPlfHLw,27,0.513,0.836,0,-7.76,1,0.0674,0.255,4.5e-06,0.375,0.485,93.746,audio_features,5rhlGI1uMKzJHfIDPlfHLw,spotify:track:5rhlGI1uMKzJHfIDPlfHLw,https://api.spotify.com/v1/tracks/5rhlGI1uMKzJHfIDPlfHLw,https://api.spotify.com/v1/audio-analysis/5rhlGI1uMKzJHfIDPlfHLw,227733,4
2927,Souls,Hippo Campus,6EYCCC9yGn1hZBHLPslNl3,39,0.461,0.503,0,-6.46,1,0.0749,0.0216,0.000211,0.0741,0.572,75.296,audio_features,6EYCCC9yGn1hZBHLPslNl3,spotify:track:6EYCCC9yGn1hZBHLPslNl3,https://api.spotify.com/v1/tracks/6EYCCC9yGn1hZBHLPslNl3,https://api.spotify.com/v1/audio-analysis/6EYCCC9yGn1hZBHLPslNl3,244162,4
2928,Sound & Color,Alabama Shakes,6huoxhxVtmHGMGmq90U6bE,44,0.547,0.43,2,-7.393,1,0.0667,0.848,0.613,0.0825,0.175,114.729,audio_features,6huoxhxVtmHGMGmq90U6bE,spotify:track:6huoxhxVtmHGMGmq90U6bE,https://api.spotify.com/v1/tracks/6huoxhxVtmHGMGmq90U6bE,https://api.spotify.com/v1/audio-analysis/6huoxhxVtmHGMGmq90U6bE,182467,4
2929,Sourire sincère,Ariane Moffatt,51lNBugAUFH0Bq3VDghvw2,2,0.264,0.761,10,-9.756,1,0.0535,0.276,0.131,0.334,0.0455,134.824,audio_features,51lNBugAUFH0Bq3VDghvw2,spotify:track:51lNBugAUFH0Bq3VDghvw2,https://api.spotify.com/v1/tracks/51lNBugAUFH0Bq3VDghvw2,https://api.spotify.com/v1/audio-analysis/51lNBugAUFH0Bq3VDghvw2,306613,4
2930,Sous les projectiles,Mara Tremblay,2FLGqD3W7B1qcSYZluxfpf,9,0.51,0.638,0,-11.532,1,0.0448,0.165,0.57,0.126,0.64,165.926,audio_features,2FLGqD3W7B1qcSYZluxfpf,spotify:track:2FLGqD3W7B1qcSYZluxfpf,https://api.spotify.com/v1/tracks/2FLGqD3W7B1qcSYZluxfpf,https://api.spotify.com/v1/audio-analysis/2FLGqD3W7B1qcSYZluxfpf,202640,3
2931,Southern Drawl,Bahamas,5JNBhHsq1LBqCukE6fZYfi,8,0.641,0.741,11,-7.136,1,0.0387,0.59,0.676,0.119,0.567,119.789,audio_features,5JNBhHsq1LBqCukE6fZYfi,spotify:track:5JNBhHsq1LBqCukE6fZYfi,https://api.spotify.com/v1/tracks/5JNBhHsq1LBqCukE6fZYfi,https://api.spotify.com/v1/audio-analysis/5JNBhHsq1LBqCukE6fZYfi,167520,4
2932,Souvenirs,Timber Timbre,2sGqwD22qP0KLLGBNQjLgG,0,0.0629,0.209,7,-16.442,0,0.0509,0.939,0.964,0.15,0.0251,60.279,audio_features,2sGqwD22qP0KLLGBNQjLgG,spotify:track:2sGqwD22qP0KLLGBNQjLgG,https://api.spotify.com/v1/tracks/2sGqwD22qP0KLLGBNQjLgG,https://api.spotify.com/v1/audio-analysis/2sGqwD22qP0KLLGBNQjLgG,213653,4
2933,Space For Rent,WhoMadeWho,0qOA2gMNnzVdHRz8WFIYhD,0,0.781,0.681,11,-8.202,1,0.0347,0.0825,0.606,0.157,0.369,117.991,audio_features,0qOA2gMNnzVdHRz8WFIYhD,spotify:track:0qOA2gMNnzVdHRz8WFIYhD,https://api.spotify.com/v1/tracks/0qOA2gMNnzVdHRz8WFIYhD,https://api.spotify.com/v1/audio-analysis/0qOA2gMNnzVdHRz8WFIYhD,305280,4
2934,Space For Rent (Green Version),WhoMadeWho,15gDSI0H63EDWY6LZJJ1O5,0,0.613,0.722,7,-12.232,1,0.0362,0.279,0.469,0.085,0.073,108.007,audio_features,15gDSI0H63EDWY6LZJJ1O5,spotify:track:15gDSI0H63EDWY6LZJJ1O5,https://api.spotify.com/v1/tracks/15gDSI0H63EDWY6LZJJ1O5,https://api.spotify.com/v1/audio-analysis/15gDSI0H63EDWY6LZJJ1O5,289747,4
2935,Space Oddity,Major Tom Band,4kQXDJq81X6cl390rnqpVo,20,0.542,0.478,0,-10.719,1,0.0258,0.0818,9.82e-06,0.167,0.519,140.135,audio_features,4kQXDJq81X6cl390rnqpVo,spotify:track:4kQXDJq81X6cl390rnqpVo,https://api.spotify.com/v1/tracks/4kQXDJq81X6cl390rnqpVo,https://api.spotify.com/v1/audio-analysis/4kQXDJq81X6cl390rnqpVo,285253,4
2936,Space Oddity - 1999 Remaster,David Bowie,7IBfmCrfaR3SLVemWhsucQ,0,0.31,0.423,0,-12.902,1,0.0324,0.0169,1.35e-05,0.365,0.457,136.205,audio_features,7IBfmCrfaR3SLVemWhsucQ,spotify:track:7IBfmCrfaR3SLVemWhsucQ,https://api.spotify.com/v1/tracks/7IBfmCrfaR3SLVemWhsucQ,https://api.spotify.com/v1/audio-analysis/7IBfmCrfaR3SLVemWhsucQ,316333,4
2937,Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,90,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,audio_features,7D0RhFcb3CrfPuTJ0obrod,spotify:track:7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,227093,3
2938,Sparks,The Dø,26PFl0Nl7KCCNlVy4sjq04,12,0.242,0.703,0,-4.368,0,0.0508,0.0357,8.05e-06,0.144,0.0972,183.269,audio_features,26PFl0Nl7KCCNlVy4sjq04,spotify:track:26PFl0Nl7KCCNlVy4sjq04,https://api.spotify.com/v1/tracks/26PFl0Nl7KCCNlVy4sjq04,https://api.spotify.com/v1/audio-analysis/26PFl0Nl7KCCNlVy4sjq04,227141,4
2939,Speak to Me,Pink Floyd,574y1r7o2tRA009FW0LE7v,63,0.592,0.0195,1,-33.35,1,0.0369,0.361,0.839,0.108,0.0313,119.504,audio_features,574y1r7o2tRA009FW0LE7v,spotify:track:574y1r7o2tRA009FW0LE7v,https://api.spotify.com/v1/tracks/574y1r7o2tRA009FW0LE7v,https://api.spotify.com/v1/audio-analysis/574y1r7o2tRA009FW0LE7v,65314,4
2940,Speed Tape,Other Lives,6FeswCWrckXZZ8Y625P6l8,0,0.452,0.537,0,-11.217,1,0.0285,0.187,0.0846,0.101,0.216,163.945,audio_features,6FeswCWrckXZZ8Y625P6l8,spotify:track:6FeswCWrckXZZ8Y625P6l8,https://api.spotify.com/v1/tracks/6FeswCWrckXZZ8Y625P6l8,https://api.spotify.com/v1/audio-analysis/6FeswCWrckXZZ8Y625P6l8,280787,3
2941,Speed The Collapse,Metric,4WMFaAJHpY7DtQbyYeqwz4,48,0.474,0.904,4,-4.792,0,0.0347,0.0101,0.0149,0.0897,0.511,95.003,audio_features,4WMFaAJHpY7DtQbyYeqwz4,spotify:track:4WMFaAJHpY7DtQbyYeqwz4,https://api.spotify.com/v1/tracks/4WMFaAJHpY7DtQbyYeqwz4,https://api.spotify.com/v1/audio-analysis/4WMFaAJHpY7DtQbyYeqwz4,222720,4
2942,Spiderhead,Cage The Elephant,3qmTLHVjteYwzS9fEygSzA,0,0.538,0.948,2,-0.767,1,0.0469,0.00656,1.28e-05,0.124,0.531,117.975,audio_features,3qmTLHVjteYwzS9fEygSzA,spotify:track:3qmTLHVjteYwzS9fEygSzA,https://api.spotify.com/v1/tracks/3qmTLHVjteYwzS9fEygSzA,https://api.spotify.com/v1/audio-analysis/3qmTLHVjteYwzS9fEygSzA,222823,4
2943,Spies,Coldplay,2mLgOcRkEgq89j8WstUpui,62,0.309,0.673,1,-5.524,0,0.0319,0.0236,0.000144,0.0635,0.0732,147.599,audio_features,2mLgOcRkEgq89j8WstUpui,spotify:track:2mLgOcRkEgq89j8WstUpui,https://api.spotify.com/v1/tracks/2mLgOcRkEgq89j8WstUpui,https://api.spotify.com/v1/audio-analysis/2mLgOcRkEgq89j8WstUpui,318773,4
2944,Spinning,GROUPLOVE,0lr7yLFQp1YQEqjTtwDRkB,0,0.646,0.6,6,-5.673,1,0.0279,0.0183,0.000374,0.0831,0.337,110.81,audio_features,0lr7yLFQp1YQEqjTtwDRkB,spotify:track:0lr7yLFQp1YQEqjTtwDRkB,https://api.spotify.com/v1/tracks/0lr7yLFQp1YQEqjTtwDRkB,https://api.spotify.com/v1/audio-analysis/0lr7yLFQp1YQEqjTtwDRkB,242067,4
2945,Spleen Et Montréal,Loco Locass,3siXFHetVZsvGy8pIbxG42,19,0.728,0.648,2,-5.28,0,0.0901,0.0914,0.0,0.0746,0.339,73.991,audio_features,3siXFHetVZsvGy8pIbxG42,spotify:track:3siXFHetVZsvGy8pIbxG42,https://api.spotify.com/v1/tracks/3siXFHetVZsvGy8pIbxG42,https://api.spotify.com/v1/audio-analysis/3siXFHetVZsvGy8pIbxG42,267800,4
2946,St-Bruno - Nuit de la poésie III,Les Trois Accords,2TcR04fsDzTWiMDmODkD06,33,0.38,0.821,4,-7.062,1,0.0359,0.00185,0.00611,0.114,0.43,184.054,audio_features,2TcR04fsDzTWiMDmODkD06,spotify:track:2TcR04fsDzTWiMDmODkD06,https://api.spotify.com/v1/tracks/2TcR04fsDzTWiMDmODkD06,https://api.spotify.com/v1/audio-analysis/2TcR04fsDzTWiMDmODkD06,269578,4
2947,St-Cyrille-de-Wendover,Les Trois Accords,0X99LHuRAWIA8uqTubVUgY,22,0.644,0.731,7,-5.902,1,0.029,0.0739,0.0,0.088,0.362,102.064,audio_features,0X99LHuRAWIA8uqTubVUgY,spotify:track:0X99LHuRAWIA8uqTubVUgY,https://api.spotify.com/v1/tracks/0X99LHuRAWIA8uqTubVUgY,https://api.spotify.com/v1/audio-analysis/0X99LHuRAWIA8uqTubVUgY,165440,4
2948,St-Fortunat,Malajube,1e1XhS5zkpOBHeuEIRpX09,14,0.497,0.72,7,-6.779,1,0.0317,0.609,0.0268,0.361,0.177,118.503,audio_features,1e1XhS5zkpOBHeuEIRpX09,spotify:track:1e1XhS5zkpOBHeuEIRpX09,https://api.spotify.com/v1/tracks/1e1XhS5zkpOBHeuEIRpX09,https://api.spotify.com/v1/audio-analysis/1e1XhS5zkpOBHeuEIRpX09,225747,3
2949,St-Michel,Louis-Jean Cormier,5XJe4LIECmREDWq6VjLR74,0,0.484,0.835,2,-5.773,1,0.0601,0.0972,0.000171,0.181,0.187,119.291,audio_features,5XJe4LIECmREDWq6VjLR74,spotify:track:5XJe4LIECmREDWq6VjLR74,https://api.spotify.com/v1/tracks/5XJe4LIECmREDWq6VjLR74,https://api.spotify.com/v1/audio-analysis/5XJe4LIECmREDWq6VjLR74,319733,4
2950,St. Apollonia,Beirut,15v1dzpoIoGcjKHgr5n6e9,0,0.291,0.498,0,-9.103,0,0.028,0.913,0.17,0.0812,0.583,99.197,audio_features,15v1dzpoIoGcjKHgr5n6e9,spotify:track:15v1dzpoIoGcjKHgr5n6e9,https://api.spotify.com/v1/tracks/15v1dzpoIoGcjKHgr5n6e9,https://api.spotify.com/v1/audio-analysis/15v1dzpoIoGcjKHgr5n6e9,180733,3
2951,St. Ides,Macklemore & Ryan Lewis,7bkZhh7uKi9b60fjob2XGt,49,0.812,0.524,2,-10.549,1,0.0656,0.617,0.0101,0.106,0.043,107.71,audio_features,7bkZhh7uKi9b60fjob2XGt,spotify:track:7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/tracks/7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/audio-analysis/7bkZhh7uKi9b60fjob2XGt,219107,4
2952,St. Ides,Macklemore,7bkZhh7uKi9b60fjob2XGt,49,0.812,0.524,2,-10.549,1,0.0656,0.617,0.0101,0.106,0.043,107.71,audio_features,7bkZhh7uKi9b60fjob2XGt,spotify:track:7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/tracks/7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/audio-analysis/7bkZhh7uKi9b60fjob2XGt,219107,4
2953,St. Ides,Ryan Lewis,7bkZhh7uKi9b60fjob2XGt,49,0.812,0.524,2,-10.549,1,0.0656,0.617,0.0101,0.106,0.043,107.71,audio_features,7bkZhh7uKi9b60fjob2XGt,spotify:track:7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/tracks/7bkZhh7uKi9b60fjob2XGt,https://api.spotify.com/v1/audio-analysis/7bkZhh7uKi9b60fjob2XGt,219107,4
2954,Stage or Screen,Unknown Mortal Orchestra,0Evd1SDodEIH9XiRLwy8Ta,0,0.382,0.741,3,-3.511,1,0.0392,0.0941,7.38e-05,0.0953,0.393,106.931,audio_features,0Evd1SDodEIH9XiRLwy8Ta,spotify:track:0Evd1SDodEIH9XiRLwy8Ta,https://api.spotify.com/v1/tracks/0Evd1SDodEIH9XiRLwy8Ta,https://api.spotify.com/v1/audio-analysis/0Evd1SDodEIH9XiRLwy8Ta,206067,4
2955,The Stain,The Invisible,2rCYnp2abJDJqpHteHUhzY,0,0.706,0.454,5,-11.912,0,0.035,0.624,0.153,0.0957,0.507,118.546,audio_features,2rCYnp2abJDJqpHteHUhzY,spotify:track:2rCYnp2abJDJqpHteHUhzY,https://api.spotify.com/v1/tracks/2rCYnp2abJDJqpHteHUhzY,https://api.spotify.com/v1/audio-analysis/2rCYnp2abJDJqpHteHUhzY,317120,4
