,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2859,Machinehead - Remastered,Bush,0lXrp1d2S5X4mbBH978ejJ,0,0.232,0.929,9,-4.417,1,0.0949,2.27e-05,0.00329,0.131,0.175,112.848,audio_features,0lXrp1d2S5X4mbBH978ejJ,spotify:track:0lXrp1d2S5X4mbBH978ejJ,https://api.spotify.com/v1/tracks/0lXrp1d2S5X4mbBH978ejJ,https://api.spotify.com/v1/audio-analysis/0lXrp1d2S5X4mbBH978ejJ,256333,4
2860,Glycerine - Remastered,Bush,2nzlgHTbUDzuRtTFoX3qfJ,0,0.427,0.337,5,-11.38,1,0.0324,0.0325,0.00215,0.0872,0.0849,114.075,audio_features,2nzlgHTbUDzuRtTFoX3qfJ,spotify:track:2nzlgHTbUDzuRtTFoX3qfJ,https://api.spotify.com/v1/tracks/2nzlgHTbUDzuRtTFoX3qfJ,https://api.spotify.com/v1/audio-analysis/2nzlgHTbUDzuRtTFoX3qfJ,266493,4
2861,Crashing Foreign Cars,Helmet,5aAr5Y5wXiUMHVEtvaCXkt,49,0.533,0.965,5,-3.371,0,0.084,9.88e-05,0.0,0.247,0.34,94.88,audio_features,5aAr5Y5wXiUMHVEtvaCXkt,spotify:track:5aAr5Y5wXiUMHVEtvaCXkt,https://api.spotify.com/v1/tracks/5aAr5Y5wXiUMHVEtvaCXkt,https://api.spotify.com/v1/audio-analysis/5aAr5Y5wXiUMHVEtvaCXkt,151120,4
2862,The Long Road Home,Inter Arma,6F7jrKUjOGITyZl9XYFQdC,15,0.122,0.69,4,-6.791,0,0.0524,0.00233,0.889,0.166,0.118,160.267,audio_features,6F7jrKUjOGITyZl9XYFQdC,spotify:track:6F7jrKUjOGITyZl9XYFQdC,https://api.spotify.com/v1/tracks/6F7jrKUjOGITyZl9XYFQdC,https://api.spotify.com/v1/audio-analysis/6F7jrKUjOGITyZl9XYFQdC,607374,4
2863,Silver Bride,Amorphis,7sHGxzaWViGHxW7RnQ2ENu,48,0.454,0.95,10,-4.149,1,0.0436,0.000128,0.00477,0.0495,0.317,124.007,audio_features,7sHGxzaWViGHxW7RnQ2ENu,spotify:track:7sHGxzaWViGHxW7RnQ2ENu,https://api.spotify.com/v1/tracks/7sHGxzaWViGHxW7RnQ2ENu,https://api.spotify.com/v1/audio-analysis/7sHGxzaWViGHxW7RnQ2ENu,253400,4
2864,Street Car,Hayden,7q4l4P4bdBkqpyXM64Dls3,18,0.528,0.157,2,-15.109,0,0.0352,0.269,0.222,0.113,0.228,112.606,audio_features,7q4l4P4bdBkqpyXM64Dls3,spotify:track:7q4l4P4bdBkqpyXM64Dls3,https://api.spotify.com/v1/tracks/7q4l4P4bdBkqpyXM64Dls3,https://api.spotify.com/v1/audio-analysis/7q4l4P4bdBkqpyXM64Dls3,275110,4
2865,Here,Pavement,1MYhWOMpHxCYEgDzZKrRql,0,0.527,0.397,9,-6.656,1,0.0353,0.848,0.022,0.117,0.266,92.527,audio_features,1MYhWOMpHxCYEgDzZKrRql,spotify:track:1MYhWOMpHxCYEgDzZKrRql,https://api.spotify.com/v1/tracks/1MYhWOMpHxCYEgDzZKrRql,https://api.spotify.com/v1/audio-analysis/1MYhWOMpHxCYEgDzZKrRql,236093,4
2866,World Of Lies,At The Gates,63qjdBUGCiDzle4KGuypCX,41,0.243,0.984,7,-6.825,1,0.106,2.75e-06,0.917,0.332,0.259,118.784,audio_features,63qjdBUGCiDzle4KGuypCX,spotify:track:63qjdBUGCiDzle4KGuypCX,https://api.spotify.com/v1/tracks/63qjdBUGCiDzle4KGuypCX,https://api.spotify.com/v1/audio-analysis/63qjdBUGCiDzle4KGuypCX,215547,4
2867,Dragonaut,Sleep,6qLgGLeawKyhMFJ848XtYD,52,0.352,0.65,5,-13.169,1,0.0415,0.00254,0.286,0.174,0.464,123.607,audio_features,6qLgGLeawKyhMFJ848XtYD,spotify:track:6qLgGLeawKyhMFJ848XtYD,https://api.spotify.com/v1/tracks/6qLgGLeawKyhMFJ848XtYD,https://api.spotify.com/v1/audio-analysis/6qLgGLeawKyhMFJ848XtYD,343160,4
2868,Holy Mountain,Sleep,1G7rpMjaBTqczxxzJdHToF,43,0.274,0.529,5,-12.981,1,0.0365,0.0328,0.037,0.123,0.223,98.559,audio_features,1G7rpMjaBTqczxxzJdHToF,spotify:track:1G7rpMjaBTqczxxzJdHToF,https://api.spotify.com/v1/tracks/1G7rpMjaBTqczxxzJdHToF,https://api.spotify.com/v1/audio-analysis/1G7rpMjaBTqczxxzJdHToF,524293,4
2869,Metal Guru - 2012 Remaster,T. Rex,0HfgYHSJmegk74LODFB3Yc,30,0.348,0.869,11,-5.36,0,0.0791,0.00566,0.0141,0.102,0.664,128.025,audio_features,0HfgYHSJmegk74LODFB3Yc,spotify:track:0HfgYHSJmegk74LODFB3Yc,https://api.spotify.com/v1/tracks/0HfgYHSJmegk74LODFB3Yc,https://api.spotify.com/v1/audio-analysis/0HfgYHSJmegk74LODFB3Yc,149680,4
2870,(sic),Slipknot,1g8lVIsEkDaGD1nKw6fwUb,67,0.38,0.994,7,-4.638,1,0.124,0.000536,0.00128,0.0956,0.267,96.325,audio_features,1g8lVIsEkDaGD1nKw6fwUb,spotify:track:1g8lVIsEkDaGD1nKw6fwUb,https://api.spotify.com/v1/tracks/1g8lVIsEkDaGD1nKw6fwUb,https://api.spotify.com/v1/audio-analysis/1g8lVIsEkDaGD1nKw6fwUb,199881,4
2871,Surfacing,Slipknot,0iget4icTqUya9wtpvCTF2,64,0.443,0.993,11,-4.517,0,0.101,0.000456,0.0437,0.307,0.276,106.875,audio_features,0iget4icTqUya9wtpvCTF2,spotify:track:0iget4icTqUya9wtpvCTF2,https://api.spotify.com/v1/tracks/0iget4icTqUya9wtpvCTF2,https://api.spotify.com/v1/audio-analysis/0iget4icTqUya9wtpvCTF2,218093,4
2872,Wanted Dead Or Alive,Bon Jovi,0whc72kLlbhR5QMmj9XPnb,0,0.265,0.805,7,-3.967,1,0.0396,0.126,0.0119,0.306,0.239,149.964,audio_features,0whc72kLlbhR5QMmj9XPnb,spotify:track:0whc72kLlbhR5QMmj9XPnb,https://api.spotify.com/v1/tracks/0whc72kLlbhR5QMmj9XPnb,https://api.spotify.com/v1/audio-analysis/0whc72kLlbhR5QMmj9XPnb,308667,4
